metric_time__day,qualifying_orders
2017-04-03 00:00:00,220
2017-04-04 00:00:00,203
2017-04-05 00:00:00,213
2017-04-06 00:00:00,215
2017-04-07 00:00:00,212
2017-04-08 00:00:00,23
2017-04-09 00:00:00,23
2017-04-10 00:00:00,204
2017-04-11 00:00:00,209
2017-04-12 00:00:00,221
2017-04-13 00:00:00,219
2017-04-14 00:00:00,221
2017-04-15 00:00:00,26
2017-04-16 00:00:00,17
2017-04-17 00:00:00,212
2017-04-18 00:00:00,218
2017-04-19 00:00:00,213
2017-04-20 00:00:00,217
2017-04-21 00:00:00,213
2017-04-22 00:00:00,25
2017-04-23 00:00:00,20
2017-04-24 00:00:00,218
2017-04-25 00:00:00,209
2017-04-26 00:00:00,215
2017-04-27 00:00:00,216
2017-04-28 00:00:00,211
2017-04-29 00:00:00,24
2017-04-30 00:00:00,25
2017-05-01 00:00:00,221
2017-05-02 00:00:00,235
2017-05-03 00:00:00,217
2017-05-04 00:00:00,251
2017-05-05 00:00:00,247
2017-05-06 00:00:00,14
2017-05-07 00:00:00,20
2017-05-08 00:00:00,242
2017-05-09 00:00:00,229
2017-05-10 00:00:00,239
2017-05-11 00:00:00,250
2017-05-12 00:00:00,257
2017-05-13 00:00:00,19
2017-05-14 00:00:00,11
2017-05-15 00:00:00,242
2017-05-16 00:00:00,247
2017-05-17 00:00:00,246
2017-05-18 00:00:00,242
2017-05-19 00:00:00,233
2017-05-20 00:00:00,23
2017-05-21 00:00:00,22
2017-05-22 00:00:00,230
2017-05-23 00:00:00,239
2017-05-24 00:00:00,237
2017-05-25 00:00:00,232
2017-05-26 00:00:00,250
2017-05-27 00:00:00,24
2017-05-28 00:00:00,20
2017-05-29 00:00:00,233
2017-05-30 00:00:00,230
2017-05-31 00:00:00,251
2017-06-01 00:00:00,203
2017-06-02 00:00:00,183
2017-06-03 00:00:00,22
2017-06-04 00:00:00,14
2017-06-05 00:00:00,196
2017-06-06 00:00:00,201
2017-06-07 00:00:00,204
2017-06-08 00:00:00,219
2017-06-09 00:00:00,204
2017-06-10 00:00:00,21
2017-06-11 00:00:00,25
2017-06-12 00:00:00,213
2017-06-13 00:00:00,198
2017-06-14 00:00:00,205
2017-06-15 00:00:00,210
2017-06-16 00:00:00,199
2017-06-17 00:00:00,22
2017-06-18 00:00:00,29
2017-06-19 00:00:00,201
2017-06-20 00:00:00,205
2017-06-21 00:00:00,197
2017-06-22 00:00:00,206
2017-06-23 00:00:00,204
2017-06-24 00:00:00,15
2017-06-25 00:00:00,19
2017-06-26 00:00:00,209
2017-06-27 00:00:00,209
2017-06-28 00:00:00,186
2017-06-29 00:00:00,200
2017-06-30 00:00:00,201
2017-07-01 00:00:00,24
2017-07-02 00:00:00,34
2017-07-03 00:00:00,236
2017-07-04 00:00:00,216
2017-07-05 00:00:00,228
2017-07-06 00:00:00,225
2017-07-07 00:00:00,219
2017-07-08 00:00:00,21
2017-07-09 00:00:00,20
2017-07-10 00:00:00,228
2017-07-11 00:00:00,221
2017-07-12 00:00:00,227
2017-07-13 00:00:00,227
2017-07-14 00:00:00,237
2017-07-15 00:00:00,22
2017-07-16 00:00:00,20
2017-07-17 00:00:00,216
2017-07-18 00:00:00,222
2017-07-19 00:00:00,220
2017-07-20 00:00:00,218
2017-07-21 00:00:00,220
2017-07-22 00:00:00,18
2017-07-23 00:00:00,17
2017-07-24 00:00:00,232
2017-07-25 00:00:00,234
2017-07-26 00:00:00,232
2017-07-27 00:00:00,236
2017-07-28 00:00:00,222
2017-07-29 00:00:00,24
2017-07-30 00:00:00,27
2017-07-31 00:00:00,229
2017-08-01 00:00:00,260
2017-08-02 00:00:00,272
2017-08-03 00:00:00,258
2017-08-04 00:00:00,268
2017-08-05 00:00:00,35
2017-08-06 00:00:00,30
2017-08-07 00:00:00,275
2017-08-08 00:00:00,274
2017-08-09 00:00:00,283
2017-08-10 00:00:00,267
2017-08-11 00:00:00,277
2017-08-12 00:00:00,24
2017-08-13 00:00:00,30
2017-08-14 00:00:00,287
2017-08-15 00:00:00,272
2017-08-16 00:00:00,279
2017-08-17 00:00:00,277
2017-08-18 00:00:00,269
2017-08-19 00:00:00,33
2017-08-20 00:00:00,35
2017-08-21 00:00:00,262
2017-08-22 00:00:00,272
2017-08-23 00:00:00,273
2017-08-24 00:00:00,291
2017-08-25 00:00:00,274
2017-08-26 00:00:00,26
2017-08-27 00:00:00,32
2017-08-28 00:00:00,293
2017-08-29 00:00:00,268
2017-08-30 00:00:00,288
2017-08-31 00:00:00,277
